driver_id,total_ride_count,total_distance,total_duration,total_earnings,perday_ridecount_var,perday_ridecount_mean,accept_response_time_mean,accept_response_time_var,arrival_time_mean,arrival_time_var,wait_time_mean,wait_time_var,speed_mean,speed_var,long_ride,med_ride,short_ride,evening_ride,morning_ride,night_ride,cluster,total_lifetime_value
002be0ffdc997bd5c50703158b7c2491,277,1740287,221238,3560.0566482291665,11.398046398046386,3.043956043956044,8.407942238267148,528.1481975618691,172.98916967509027,11529.77162140952,5.231046931407942,11529.77162140952,24.084458122294475,11529.77162140952,20.0,22.0,235.0,103.0,85.0,89.0,2,42720.679778749996
0152a2f305e71d26cc964f8d4411add9,191,1471239,174521,2610.189071120833,8.512332112332114,2.098901098901099,14.198952879581151,3021.3286304767184,234.52879581151834,21248.250482226507,5.513089005235602,21248.250482226507,27.846337112377086,21248.250482226507,15.0,46.0,130.0,17.0,67.0,107.0,2,31322.268853449998
0213f8b59219e32142711992ca4ec01f,240,1559916,179878,2940.4151406333335,24.744810744810703,2.6373626373626373,9.5875,154.51114016736403,299.37916666666666,63474.83889470013,1.1833333333333333,63474.83889470013,28.332567539049844,63474.83889470013,15.0,35.0,190.0,124.0,0.0,116.0,2,35284.981687600004
0258e250ca195cc6258cbdc75aecd853,302,2464613,269155,4278.692856629167,19.619536019536024,3.318681318681319,12.605960264900663,230.69139292864838,321.4072847682119,43761.35184044354,5.764900662251655,43761.35184044354,29.61092200168997,43761.35184044354,29.0,60.0,213.0,164.0,78.0,60.0,2,51344.31427955
02d6a6b8a6da15fc219a9570f7ebbe78,62,1599719,96487,1565.6740544208333,1.9306471306471307,0.6813186813186813,12.17741935483871,170.14833421470118,626.241935483871,71172.90772078268,0.8870967741935484,71172.90772078268,40.10453606748946,71172.90772078268,17.0,12.0,33.0,1.0,61.0,0.0,2,18788.08865305
036f3d94e7c65e4e3574822d31c72656,204,1584782,201330,2952.8835948208343,4.874236874236872,2.241758241758242,13.838235294117647,1148.737250072443,297.3137254901961,44902.827199845444,-0.16666666666666666,44902.827199845444,26.416216013305586,44902.827199845444,11.0,62.0,131.0,40.0,140.0,24.0,2,35434.60313785001
039da9c077e17af98ca8530e4d7975f1,396,2126185,303133,4865.285095825,32.1860805860806,4.351648351648351,8.83838383838384,311.42697864723203,142.79040404040404,11911.06735072241,8.416666666666666,11911.06735072241,23.155561163954907,11911.06735072241,13.0,46.0,337.0,148.0,62.0,186.0,2,58383.4211499
03f2b5c74cb89f39e58711699e76bf39,223,1358917,214201,2915.8044659666666,14.183638583638587,2.4505494505494507,7.15695067264574,99.60138165070894,255.90134529147983,37371.39562881268,11.838565022421525,37371.39562881268,20.848943845895,37371.39562881268,10.0,39.0,174.0,55.0,168.0,0.0,2,34989.6535916
03f5278eb43475aa6790f5be32463755,370,2265794,321993,4850.912652445834,30.01782661782661,4.065934065934066,9.637837837837838,638.4917893503259,225.43513513513514,16123.40093019849,3.4756756756756757,16123.40093019849,22.015942842345734,16123.40093019849,31.0,26.0,313.0,69.0,253.0,48.0,2,58210.951829350015
04d686ef2fba281e395992a28f14fdd3,318,2584849,271087,4562.045755679167,30.80830280830282,3.4945054945054945,11.946540880503145,819.1422435172507,218.64150943396226,22319.265400869,9.61320754716981,22319.265400869,28.150490201914497,22319.265400869,47.0,30.0,241.0,10.0,208.0,100.0,2,54744.54906815001
05addf442c147875efa5cf53453ad47b,344,2247017,298202,4839.478598654167,22.1733821733822,3.78021978021978,14.415697674418604,9264.657595430204,215.65116279069767,17258.46104820668,2.4040697674418605,17258.46104820668,23.868881831732107,17258.46104820668,29.0,31.0,284.0,106.0,87.0,151.0,2,58073.743183850005
0656192a402808805282e60761bda088,315,2640728,250968,4467.945709470836,20.917948717948725,3.4615384615384617,12.653968253968253,1334.768415731473,263.7111111111111,41363.925831564025,15.025396825396825,41363.925831564025,30.702132072152132,41363.925831564025,36.0,55.0,224.0,61.0,8.0,246.0,2,53615.34851365003
06c848ab3a7fc5421e82e98850a81710,400,2517171,317536,4921.564789975,19.419536019536025,4.395604395604396,9.5925,326.97889097744337,247.7575,21153.16661027572,8.8975,21153.16661027572,25.34842946224911,21153.16661027572,25.0,56.0,319.0,173.0,137.0,90.0,2,59058.7774797
07dd442e3e0b9f0f9b0d69c7b47cbb06,286,1679136,250967,3417.875373812502,19.76825396825398,3.142857142857143,10.975524475524475,504.2134339344863,275.72027972027973,29601.17060483376,2.5664335664335662,29601.17060483376,21.31507585035056,29601.17060483376,17.0,36.0,233.0,113.0,158.0,15.0,2,41014.504485750025
0afc0241296972b583debd7c5f5c707c,428,2611518,376134,5570.777016849995,38.855433455433435,4.7032967032967035,14.378504672897197,1260.1702160257382,242.88317757009347,39927.58351025411,-4.19392523364486,39927.58351025411,22.10880487198073,39927.58351025411,25.0,50.0,353.0,176.0,200.0,52.0,2,66849.32420219993
0b631e16fa61f7321da18cf35a076d5f,394,2385079,340485,5327.340272695836,19.867887667887683,4.329670329670329,12.436548223350254,614.5163198615362,209.36548223350255,21696.217227883913,3.8883248730964466,21696.217227883913,21.685271489565345,21696.217227883913,24.0,27.0,343.0,155.0,182.0,57.0,2,63928.08327235003
0c02bd2b09f7193103279ab9b760b777,330,2081809,257840,4015.164926037497,13.392185592185587,3.6263736263736264,6.790909090909091,42.17803260569218,193.06969696969696,12446.51488440637,3.909090909090909,12446.51488440637,25.363740353087604,12446.51488440637,28.0,28.0,274.0,34.0,226.0,70.0,2,48181.97911244996
0ca501b2a1d72e80e0d0cd2c25bdd124,265,1406805,217150,3182.796831887503,24.081074481074477,2.912087912087912,8.90188679245283,98.59639794168098,249.87924528301886,48475.712635791904,3.969811320754717,48475.712635791904,21.08613472991621,48475.712635791904,10.0,28.0,227.0,131.0,43.0,91.0,2,38193.56198265003
